Source,Organism,Antibiotic,Method1,Dil_Result,Method2,First_Lvl_intrp,Display_order
Urine,Staph,AM,E Dilution,>=32,E Interp,R,1
Urine,Staph,AM,E Dilution,16,E Interp,I,2
Urine,Staph,AM,E Dilution,<=8,E Interp,S,3
Urine,Staph,CZ,E Dilution,>32,E Interp,R,1
Urine,Staph,CZ,E Dilution,16,E Interp,I,2
Urine,Staph,CZ,E Dilution,<=8,E Interp,S,3
Urine,Staph,FM,E Dilution,>=128,E Interp,R,1
Urine,Staph,FM,E Dilution,64,E Interp,I,2
Urine,Staph,FM,E Dilution,<=32,E Interp,S,3
Urine,Staph,CIP,E Dilution,>=4,E Interp,R,1
Urine,Staph,CIP,E Dilution,2,E Interp,I,2
Urine,Staph,CIP,E Dilution,<=1,E Interp,S,3
Urine,Staph,SXT,E Dilution,>=4/76,E Interp,R,1
Urine,Staph,SXT,E Dilution,<=2/38,E Interp,S,2
Urine,Staph,VA,E Dilution,>=32,E Interp,R,1
Urine,Staph,VA,E Dilution,16-Aug,E Interp,I,2
Urine,Staph,VA,E Dilution,<=4,E Interp,S,3
Urine,Staph,TEC,E Dilution,>=32,E Interp,R,1
Urine,Staph,TEC,E Dilution,16,E Interp,I,2
Urine,Staph,TEC,E Dilution,<=8,E Interp,S,3
Urine,Staph,LZD,E Dilution,>=8,E Interp,R,1
Urine,Staph,LZD,E Dilution,<=4,E Interp,S,2
Urine,Staph,OXA,E Dilution,>=0.5,E Interp,R,1
Urine,Staph,OXA,E Dilution,<=0.25,E Interp,S,2
