department_name,description,Primary_name,catalog_type_name,activity_type_name,activity_subtype_name,OE_format,duplicate_level,look_ahead_time,look_ahead_action,look_back_time,look_back_action,exact_match_action
AFB PCR12,Acid Fast Bacilli PCR ,Acid Fast Bacilli PCR 1234,laboratory,micro,,Lab - Micro,,,,,,
AFB Smear12,Acid Fast Bacilli Smear,Acid Fast Bacilli Smear 1234,laboratory,micro,,Lab - Micro,,,,,,
Asp gm AG12,Aspergillus gallactomannan antigen,Aspergillus gallactomannan antigen 1234,laboratory,micro,,Lab - Micro,,,,,,
C Blood12,Blood Culture,Blood Culture 1234,laboratory,micro,,Lab - Micro,,,,,,
C Blood Paed12,Blood Culture Paediatric,Blood Culture Paediatric 1234,laboratory,micro,,Lab - Micro,,,,,,
C Body Fluid1,Body Fluid Culture,Body Fluid Culture 1234,laboratory,micro,,Lab - Micro,,,,,,
C Bone Marrow1,Bone Marrow Culture,Bone Marrow Culture1234,laboratory,micro,,Lab - Micro,,,,,,
C BPertussis1,Bordetella Pertussis Culture,Bordetella Pertussis Culture1234,laboratory,micro,,Lab - Micro,,,,,,
C Cath Tip1,Catheter Tip Culture,Catheter Tip Culture1234,laboratory,micro,,Lab - Micro,,,,,,
C CSF1,Cerebrospinal Fluid Culture,Cerebrospinal Fluid Culture1234,laboratory,micro,,Lab - Micro,,,,,,
Chlamydia Ag1,Chlamydia DFA,Chlamydia DFA1234,laboratory,micro,,Lab - Micro,,,,,,
C Diff Toxin1,Clostridium Difficile Toxin,Clostridium Difficile Toxin1234,laboratory,micro,,Lab - Micro,,,,,,
CSF Bact Ag1,CSF Bacterial antigen,CSF Bacterial antigen1234,laboratory,micro,,Lab - Micro,,,,,,
CSF Crypto1,CSF Cryptococcal antigen,CSF Cryptococcal antigen1234,laboratory,micro,,Lab - Micro,,,,,,
Shiga toxin EC O:157,E coli O:157 Toxin Assay,E coli O:157 Toxin Assay1234,laboratory,micro,,Lab - Micro,,,,,,
C Ear,Ear Culture,Ear Culture1234,laboratory,micro,,Lab - Micro,,,,,,
C Environ,Environmental Culture,Environmental Culture1234,laboratory,micro,,Lab - Micro,,,,,,
C Eye,Eye Culture,Eye Culture1234,laboratory,micro,,Lab - Micro,,,,,,
C Fungal,Fungal Culture,Fungal Culture1234,laboratory,micro,,Lab - Micro,,,,,,
Fung Sm,Fungal Smear,Fungal Smear1234,laboratory,micro,,Lab - Micro,,,,,,
C Genital,Genital Culture,Genital Culture1234,laboratory,micro,,Lab - Micro,,,,,,
