topic_mean,filter_mean,Display,sequence,filter_category_mean
mp_clinic_charge,present_prob,Presenting Problem section layout parameters,1,mp_sect_params
mp_clinic_charge,inject_infuse,Injection and Infusion section layout parameters,2,mp_sect_params
mp_clinic_charge,summary,Summary section layout parameters,3,mp_sect_params
mp_clinic_charge,visit_types,Visit Types section layout parameters,4,mp_sect_params
mp_clinic_charge,proc_mgt,Process Management section layout parameters,5,mp_sect_params
mp_clinic_charge,ord_mgt,Order Management section layout parameters,6,mp_sect_params
mp_clinic_charge,nurse_assess,Nursing Assessment section layout parameters,7,mp_sect_params
mp_clinic_charge,crit_care,Critical Care section layout parameters,8,mp_sect_params
mp_clinic_charge,pt_education,Patient Education section layout parameters,9,mp_sect_params
mp_clinic_charge,new_established,New or Established section layout parameters,10,mp_sect_params
mp_clinic_charge,disposition,Disposition section layout parameters,11,mp_sect_params
mp_clinic_charge,pp_read_only_ind,Presenting Problem read only indicator,12,yes_no
mp_clinic_charge,pp_component_ind,Presenting Problem display indicator,13,yes_no
mp_clinic_charge,inject_infuse_ind,Injection and Infusion indicator,14,yes_no
mp_clinic_charge,auto_med_mar_ind,Automated medications from MAR indicator,15,yes_no
mp_clinic_charge,mar_modify_type_ind,Modify automated MAR type indicator,16,yes_no
mp_clinic_charge,mar_delete_ind,Delete automated MAR indicator,17,yes_no 
mp_clinic_charge,site_admin_cds,Medication Site of Administration ,18,site_of_admin_cds
mp_clinic_charge,eval_mgt_mod_cds,Evaluation and Management modifiers,19,eval_mgt_cds
mp_clinic_charge,inject_infuse_mod_cds,Injection and Infusion modifiers ,20,inject_infuse_cds
mp_clinic_charge,submit_charge_ind,Submit charges from MPage indicator,21,yes_no
mp_clinic_charge,vt_read_only_ind,Visit Types read only indicator,22,yes_no
mp_clinic_charge,vt_component_ind,Display the Visit Types component,23,yes_no
mp_clinic_charge,pm_read_only_ind,Process Management read only indicator,24,yes_no
mp_clinic_charge,pm_ref_expand_ind,Default Process Management reference text expanded indicator,25,yes_no
mp_clinic_charge,om_read_only_ind,Order Management read only indicator,26,yes_no
mp_clinic_charge,om_ref_expand_ind,Default Order Management reference text expanded indicator,27,yes_no
mp_clinic_charge,na_read_only_ind,Nursing Assessment read only indicator,28,yes_no
mp_clinic_charge,na_ref_expand_ind,Default Nursing Assessment reference text expanded indicator,29,yes_no
mp_clinic_charge,cc_read_only_ind,Critical Care read only indicator,30,yes_no
mp_clinic_charge,cc_ref_expand_ind,Default Critical Care reference text expanded indicator,31,yes_no
mp_clinic_charge,pt_ed_read_only_ind,Patient Education read only indicator,32,yes_no
mp_clinic_charge,pt_ed_ref_expand_ind,Default Patient Education reference text expanded indicator,33,yes_no
mp_clinic_charge,new_estab_read_only_ind,New or Established read only indicator,34,yes_no
mp_clinic_charge,new_estab_ref_expand_ind,Default New or Established reference text expanded indicator,35,yes_no
mp_clinic_charge,disp_read_only_ind,Disposition read only indicator,36,yes_no
mp_clinic_charge,disp_ref_expand_ind,Default Disposition reference text expanded indicator,37,yes_no
mp_clinic_charge,pp_contains_ind,Default Presenting Problem Contains search indicator ,38,yes_no
