topic_mean,report_mean,report_display,sequence,lighthouse_goal,mpage_pos,mpage_seq,mp_label,mp_nbr_label,mp_link,mp_add_label,mp_exp_collapse,mp_lookback,mp_max_results,mp_scrolling,mp_date_format,mp_truncate,mp_default,conditional_section
mp_clinic_charge,mp_cc_present_prob,Presenting Problem,1,,Organizer,1,Yes,no,Yes,no,Yes,no,no,Yes,no,no,,
mp_clinic_charge,mp_cc_inject_infuse,Injection and Infusion,2,,Organizer,2,Yes,no,Yes,no,no,no,no,no,no,no,,
mp_clinic_charge,mp_cc_summary,Summary,3,,Organizer,3,Yes,no,Yes,no,no,no,no,no,no,no,,
mp_clinic_charge,mp_cc_visit_types,Visit Types,4,,Organizer,4,Yes,no,Yes,no,Yes,no,no,Yes,no,no,,
mp_clinic_charge,mp_cc_process_mgt,Process Management,5,,Left,1,Yes,no,Yes,no,Yes,no,no,Yes,no,no,,
mp_clinic_charge,mp_cc_order_mgt,Order Management,6,,Left,2,Yes,no,Yes,no,Yes,no,no,Yes,no,no,,
mp_clinic_charge,mp_cc_nurse_assess,Nursing Assessment,7,,Left,3,Yes,no,Yes,no,Yes,no,no,Yes,no,no,,
mp_clinic_charge,mp_cc_critical_care,Critical Care,8,,Right,1,Yes,no,Yes,no,Yes,no,no,Yes,no,no,,
mp_clinic_charge,mp_cc_pt_education,Patient Education,9,,Right,2,Yes,no,Yes,no,Yes,no,no,Yes,no,no,,
mp_clinic_charge,mp_cc_new_establish,New or Established,10,,Right,3,Yes,no,Yes,no,Yes,no,no,Yes,no,no,,
mp_clinic_charge,mp_cc_disposition,Disposition,11,,Right,4,Yes,no,Yes,no,Yes,no,no,Yes,no,no,,
