topic_mean,report_mean,filter_mean,mp_param_mean,report_display,default_value,notes
mp_facility_charge,mp_fc_present_prob,mp_sect_params,mp_label,Presenting Problem,Presenting Problem,Freetext up to 40 characters
mp_facility_charge,mp_fc_inject_infuse,mp_sect_params,mp_label,Injection and Infusion,Injection and Infusion,Freetext up to 40 characters
mp_facility_charge,mp_fc_summary,mp_sect_params,mp_label,Summary,Summary,Freetext up to 40 characters
mp_facility_charge,mp_fc_visit_types,mp_sect_params,mp_label,Visit Types,Visit Types,Freetext up to 40 characters
mp_facility_charge,mp_fc_arrival_mode,mp_sect_params,mp_label,Arrival Mode,Arrival Mode,Freetext up to 40 characters
mp_facility_charge,mp_fc_process_mgt,mp_sect_params,mp_label,Process Management,Process Management,Freetext up to 40 characters
mp_facility_charge,mp_fc_order_mgt,mp_sect_params,mp_label,Order Management,Order Management,Freetext up to 40 characters
mp_facility_charge,mp_fc_nurse_assess,mp_sect_params,mp_label,Nursing Assessment,Nursing Assessment,Freetext up to 40 characters
mp_facility_charge,mp_fc_critical_care,mp_sect_params,mp_label,Critical Care,Critical Care,Freetext up to 40 characters
mp_facility_charge,mp_fc_disposition,mp_sect_params,mp_label,Disposition,Disposition,Freetext up to 40 characters
mp_facility_charge,mp_fc_present_prob,mp_sect_params,mp_link,Presenting Problem,No,Yes - display the label as a link OR No - don't display the label as a link (no address default)
mp_facility_charge,mp_fc_inject_infuse,mp_sect_params,mp_link,Injection and Infusion,No,Yes - display the label as a link OR No - don't display the label as a link (no address default)
mp_facility_charge,mp_fc_summary,mp_sect_params,mp_link,Summary,No,Yes - display the label as a link OR No - don't display the label as a link (no address default)
mp_facility_charge,mp_fc_visit_types,mp_sect_params,mp_link,Visit Types,No,Yes - display the label as a link OR No - don't display the label as a link (no address default)
mp_facility_charge,mp_fc_arrival_mode,mp_sect_params,mp_link,Arrival Mode,No,Yes - display the label as a link OR No - don't display the label as a link (no address default)
mp_facility_charge,mp_fc_process_mgt,mp_sect_params,mp_link,Process Management,No,Yes - display the label as a link OR No - don't display the label as a link (no address default)
mp_facility_charge,mp_fc_order_mgt,mp_sect_params,mp_link,Order Management,No,Yes - display the label as a link OR No - don't display the label as a link (no address default)
mp_facility_charge,mp_fc_nurse_assess,mp_sect_params,mp_link,Nursing Assessment,No,Yes - display the label as a link OR No - don't display the label as a link (no address default)
mp_facility_charge,mp_fc_critical_care,mp_sect_params,mp_link,Critical Care,No,Yes - display the label as a link OR No - don't display the label as a link (no address default)
mp_facility_charge,mp_fc_disposition,mp_sect_params,mp_link,Disposition,No,Yes - display the label as a link OR No - don't display the label as a link (no address default)
mp_facility_charge,mp_fc_present_prob,mp_sect_params,mp_exp_collapse,Presenting Problem,Expanded,Expanded
mp_facility_charge,mp_fc_arrival_mode,mp_sect_params,mp_exp_collapse,Arrival Mode,Expanded,Expanded
mp_facility_charge,mp_fc_process_mgt,mp_sect_params,mp_exp_collapse,Process Management,Expanded,Expanded
mp_facility_charge,mp_fc_order_mgt,mp_sect_params,mp_exp_collapse,Order Management,Expanded,Expanded
mp_facility_charge,mp_fc_nurse_assess,mp_sect_params,mp_exp_collapse,Nursing Assessment,Expanded,Expanded
mp_facility_charge,mp_fc_critical_care,mp_sect_params,mp_exp_collapse,Critical Care,Expanded,Expanded
mp_facility_charge,mp_fc_disposition,mp_sect_params,mp_exp_collapse,Disposition,Expanded,Expanded
mp_facility_charge,mp_fc_visit_types,mp_sect_params,mp_exp_collapse,Visit Types,Expanded,Expanded
mp_facility_charge,mp_fc_present_prob,mp_sect_params,mp_scrolling,Presenting Problem,No,Yes - apply scrolling OR No - don't apply scrolling
mp_facility_charge,mp_fc_arrival_mode,mp_sect_params,mp_scrolling,Arrival Mode,No,Yes - apply scrolling OR No - don't apply scrolling
mp_facility_charge,mp_fc_process_mgt,mp_sect_params,mp_scrolling,Process Management,No,Yes - apply scrolling OR No - don't apply scrolling
mp_facility_charge,mp_fc_order_mgt,mp_sect_params,mp_scrolling,Order Management,No,Yes - apply scrolling OR No - don't apply scrolling
mp_facility_charge,mp_fc_nurse_assess,mp_sect_params,mp_scrolling,Nursing Assessment,No,Yes - apply scrolling OR No - don't apply scrolling
mp_facility_charge,mp_fc_critical_care,mp_sect_params,mp_scrolling,Critical Care,No,Yes - apply scrolling OR No - don't apply scrolling
mp_facility_charge,mp_fc_disposition,mp_sect_params,mp_scrolling,Disposition,No,Yes - apply scrolling OR No - don't apply scrolling
mp_facility_charge,mp_fc_visit_types,mp_sect_params,mp_scrolling,Visit Types,No,Yes - apply scrolling OR No - don't apply scrolling
